;China BEV;China PHEV;Europe BEV;Europe PHEV;United States BEV;United States PHEV;Rest of World BEV;Rest of World PHEV
2014;0.0;0.0;0.1;0.0;0.1;0.1;0.0;0.0
2015;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0
2016;0.3;0.1;0.1;0.1;0.1;0.1;0.0;0.0
2017;0.5;0.1;0.1;0.2;0.1;0.1;0.0;0.1
2018;0.8;0.3;0.2;0.2;0.2;0.1;0.1;0.1
2019;0.8;0.2;0.4;0.2;0.2;0.1;0.1;0.1
2020;0.9;0.2;0.8;0.6;0.2;0.1;0.1;0.1
2021;2.7;0.5;1.2;1.1;0.5;0.2;0.2;0.1
2022;4.4;1.5;1.6;1.0;0.8;0.2;0.5;0.1
2023;5.4;2.7;2.2;1.0;1.1;0.3;0.8;0.2
2024;6.4;4.9;2.2;1.0;1.2;0.3;1.0;0.3